backend,window_s,calibration_runs,validation_runs,test_runs,skipped_runs,skipped_run_ids,polarity,selected_policy,threshold,t_on,t_off,hysteresis_gap,persistence_windows,calibration_real_only_fa_per_min,calibration_target_recall,calibration_target_f1,validation_auc,validation_precision,validation_recall,validation_f1,validation_false_alerts_per_min,validation_ttfd_s,validation_flicker,test_auc,test_precision,test_recall,test_f1,test_false_alerts_per_min,test_ttfd_s,test_flicker
videomae,5,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.530423,0.49765258215962443,0.9880159786950732,0.6619090098126673,2.0427236315086783,0.21428571428571427,0.02012072434607646,0.565339,0.4984984984984985,0.9979959919839679,0.664886515353805,2.0758483033932134,0.036585365853658534,0.04004004004004004
xception_df40,5,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,0.9739033870072182,0.740084388185654,0.46376,0.5008443093549476,0.9873501997336884,0.6645753977145417,2.0427236315086783,0.2261904761904762,0.08105369807497467,0.494246,0.4966442953020134,0.9886439545758183,0.6611570247933884,2.0758483033932134,0.2016219512195122,0.020134228187919465
efficientnet_b4,10,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.511152,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.556241,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,10,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.538311,0.5013404825737265,0.996005326231691,0.6669638876504682,2.0427236315086783,0.0,0.040214477211796246,0.550297,0.4983288770053476,0.9959919839679359,0.6642904878592114,2.1157684630738522,0.0,0.12032085561497328
f3net,10,6,5,5,0,,high,strict_0.10,0.04,0.04,0.04,0.0,1,0.1,1.0,0.7513558614935336,0.55224,0.501004016064257,0.9966711051930759,0.666815144766147,2.0427236315086783,0.0,0.06024096385542169,0.560508,0.4998330550918197,1.0,0.6665182546749777,2.1157684630738522,0.0,0.04006677796327212
i3d,10,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.476529,0.5028745350016909,0.9900133155792277,0.6669656873738505,2.0026702269692924,0.16666666666666666,0.040581670612106865,0.537936,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
videomae,10,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,1.0,0.7502603624244949,0.516954,0.4974840657497484,0.9873501997336884,0.6616105286638412,2.0427236315086783,0.2261904761904762,0.020127474002012747,0.559067,0.4984984984984985,0.9979959919839679,0.664886515353805,2.0758483033932134,0.036585365853658534,0.04004004004004004
xception_df40,10,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,0.971682398667407,0.7398013105051785,0.468089,0.5010135135135135,0.9873501997336884,0.6647243388614972,2.0427236315086783,0.2261904761904762,0.08108108108108107,0.496258,0.49697783747481533,0.9886439545758183,0.6614525139664805,2.0758483033932134,0.2016219512195122,0.020147750167897917
efficientnet_b4,15,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.507378,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.55426,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,15,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.54445,0.5021746403479425,0.9993342210386151,0.6684480071253618,2.0427236315086783,0.0,0.04014720642355303,0.572402,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
f3net,15,6,5,5,0,,high,strict_0.10,0.04,0.04,0.04,0.0,1,0.1,1.0,0.7505730360491769,0.582415,0.5010006671114076,1.0,0.6675555555555556,2.0427236315086783,0.0,0.0200133422281521,0.591626,0.4991663887962654,1.0,0.6659252669039146,2.1157684630738522,0.0,0.04001333777925975
i3d,15,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.472865,0.5023632680621202,0.9906790945406125,0.6666666666666666,2.0427236315086783,0.16666666666666666,0.04051316677920324,0.523501,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
videomae,15,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.501139,0.49562289562289563,0.9800266311584553,0.6583184257602862,2.0427236315086783,0.35454761904761883,0.06060606060606061,0.550647,0.4979946524064171,0.9953239812959251,0.6638449543328134,2.0758483033932134,0.0895487804878051,0.06016042780748663
xception_df40,15,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,0.9705719044975014,0.7408349226531046,0.47496,0.5008448800270362,0.9866844207723036,0.6644250168123739,2.0427236315086783,0.23809523809523808,0.08110848259547143,0.499329,0.49747899159663866,0.9886439545758183,0.6618962432915921,2.0758483033932134,0.2016219512195122,0.020168067226890754
efficientnet_b4,20,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.491436,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.448269,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,20,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.538617,0.5016700066800267,1.0,0.6681494661921709,2.082777036048064,0.0,0.04008016032064128,0.587644,0.4991663887962654,1.0,0.6659252669039146,2.1157684630738522,0.0,0.04001333777925975
f3net,20,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.60936,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.617302,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
i3d,20,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.470029,0.5015166835187057,0.9906790945406125,0.6659207876482434,2.0427236315086783,0.16666666666666666,0.04044489383215369,0.514687,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
videomae,20,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.493052,0.4964705882352941,0.9833555259653795,0.6598168416350235,2.0427236315086783,0.21428571428571427,0.060504201680672276,0.546902,0.4984984984984985,0.9979959919839679,0.664886515353805,2.0758483033932134,0.012195121951219513,0.06006006006006006
xception_df40,20,6,5,5,0,,low,strict_0.10,0.05,0.05,0.0,0.05,1,0.1,0.968906163242643,0.7403478998727197,0.484405,0.5008448800270362,0.9866844207723036,0.6644250168123739,2.0427236315086783,0.23809523809523808,0.08110848259547143,0.50307,0.49848433816099696,0.9886439545758183,0.6627854903716973,2.0758483033932134,0.2016219512195122,0.020208824520040417
efficientnet_b4,30,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.51476,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.559039,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,30,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.519265,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.605884,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
