gate,window_s,backend,calibration_status,selected_policy,rank,winner,polarity,calibration_auroc,gate_false_alerts_per_min_ucb,gate_false_alert_time_ratio_ucb,target_recall,target_ttfd_s,target_f1,target_alert_flicker,threshold,t_on,t_off,persistence_windows,validation_auroc,validation_precision,validation_recall,validation_f1,validation_false_alerts_per_min,validation_false_alert_time_ratio,validation_ttfd_s,validation_flicker,test_auroc,test_precision,test_recall,test_f1,test_false_alerts_per_min,test_false_alert_time_ratio,test_ttfd_s,test_flicker
strict,10,i3d,selected,strict,5,False,low,0.526361,0.0,0.0,0.634831,6.46699,0.638418,0.170455,0.33,0.33,0.23,3,0.480064,0.45122,0.243421,0.316239,0.72973,0.304054,13.09475,0.292683,0.551536,0.471014,0.430464,0.449827,0.442953,0.489933,10.507463,0.130435
strict,10,xception_df40,selected,strict,6,False,low,0.512162,0.1,0.05,0.230337,12.609135,0.338843,2.4375,0.44,0.44,0.44,3,0.479196,0.581818,0.210526,0.309179,0.364865,0.155405,13.685226,1.527273,0.5006,0.659574,0.205298,0.313131,0.281879,0.107383,14.115341,2.170213
strict,15,f3net,selected,strict,1,True,high,0.547831,0.0,0.0,0.548387,7.504635,0.591304,0.566038,0.53,0.53,0.43,3,0.558223,0.619048,0.637255,0.628019,0.938776,0.408163,6.310286,0.457143,0.554899,0.545455,0.524272,0.534653,0.701031,0.463918,8.153732,0.323232
strict,15,effort_clip_l14,selected,strict,2,False,high,0.506605,0.0,0.0,0.177419,14.382337,0.283871,1.806452,0.99,0.99,0.89,2,0.530812,0.706897,0.401961,0.5125,0.530612,0.173469,10.653786,0.758621,0.540587,0.5,0.213592,0.29932,0.659794,0.226804,13.521402,1.0
strict,15,videomae,selected,strict,3,False,low,0.56535,0.0,0.0,0.379032,10.500394,0.492147,1.552239,0.69,0.69,0.59,2,0.526611,0.486486,0.176471,0.258993,0.367347,0.193878,14.356821,1.837838,0.572916,0.589041,0.417476,0.488636,0.57732,0.309278,10.267927,1.315068
strict,15,i3d,selected,strict,4,False,high,0.502642,0.0,0.0,0.612903,6.853067,0.612903,0.129032,0.71,0.71,0.61,3,0.51547,0.521368,0.598039,0.557078,1.020408,0.571429,7.284179,0.17094,0.471925,0.421053,0.466019,0.442396,0.948454,0.680412,9.895073,0.175439
strict,15,efficientnet_b4,selected,strict,5,False,high,0.500626,0.1,0.05,0.129032,14.06999,0.20915,5.37931,0.53,0.53,0.43,1,0.514406,0.514286,0.176471,0.262774,0.408163,0.173469,14.027119,3.542857,0.448303,0.518519,0.135922,0.215385,0.412371,0.134021,14.672195,4.740741
strict,15,xception_df40,selected,strict,6,False,low,0.505423,0.1,0.05,0.16129,14.134558,0.264901,3.259259,0.52,0.52,0.52,2,0.442077,0.47619,0.098039,0.162602,0.285714,0.112245,16.060679,1.714286,0.492944,0.692308,0.174757,0.27907,0.247423,0.082474,14.747293,2.0
strict,20,f3net,selected,strict,1,True,high,0.559871,0.0,0.0,0.585106,6.388933,0.585106,0.351064,0.51,0.51,0.41,3,0.591038,0.549451,0.675676,0.606061,0.592105,0.539474,6.020536,0.296703,0.595801,0.474359,0.506849,0.490066,0.623377,0.532468,8.610878,0.192308
strict,20,effort_clip_l14,selected,strict,2,False,high,0.52239,0.0,0.0,0.191489,13.770029,0.302521,1.44,0.99,0.99,0.89,2,0.538051,0.72973,0.364865,0.486486,0.355263,0.131579,11.585714,0.810811,0.49155,0.55,0.150685,0.236559,0.233766,0.116883,15.568512,0.75
strict,20,i3d,selected,strict,3,False,low,0.547501,0.0,0.0,0.489362,8.82674,0.589744,0.145161,0.32,0.32,0.27,3,0.488104,0.0,0.0,0.0,0.039474,0.342105,17.857143,0.115385,0.600071,0.636364,0.479452,0.546875,0.38961,0.25974,9.761854,0.163636
strict,20,videomae,selected,strict,4,False,low,0.559129,0.1,0.033333,0.489362,8.303971,0.567901,0.397059,0.58,0.58,0.48,3,0.464794,0.509091,0.378378,0.434109,0.236842,0.355263,10.78781,0.490909,0.623377,0.476744,0.561644,0.515723,0.545455,0.584416,7.382732,0.488372
strict,20,efficientnet_b4,selected,strict,5,False,low,0.5214,0.0,0.0,0.659574,5.14899,0.632653,0.264706,0.7,0.7,0.6,3,0.457681,0.534247,0.527027,0.530612,0.710526,0.447368,8.204643,0.369863,0.570717,0.463158,0.60274,0.52381,0.74026,0.662338,7.054476,0.284211
strict,20,xception_df40,selected,strict,6,False,low,0.536987,0.1,0.033333,0.319149,11.545154,0.47619,0.65625,0.34,0.34,0.24,3,0.441679,0.4,0.135135,0.20202,0.236842,0.197368,15.204643,0.72,0.529621,0.814815,0.30137,0.44,0.155844,0.064935,12.509012,0.666667
strict,30,videomae,selected,strict,1,True,low,0.621832,0.1,0.05,0.54386,7.769317,0.558559,0.333333,0.54,0.54,0.44,2,0.634461,0.465116,0.434783,0.449438,0.259259,0.425926,10.094393,0.651163,0.571314,0.493151,0.75,0.595041,0.346154,0.711538,4.952012,0.328767
strict,30,xception_df40,selected,strict,2,False,low,0.533278,0.0,0.0,0.508772,7.293875,0.522523,0.222222,0.26,0.26,0.21,3,0.572464,0.576923,0.326087,0.416667,0.222222,0.203704,12.582298,0.461538,0.463141,0.558824,0.395833,0.463415,0.192308,0.288462,10.92428,0.529412
strict,30,f3net,selected,strict,3,False,high,0.515455,0.0,0.0,0.631579,6.922115,0.590164,0.215385,0.49,0.49,0.39,3,0.558776,0.491803,0.652174,0.560748,0.259259,0.574074,7.334083,0.262295,0.605369,0.5,0.479167,0.489362,0.230769,0.442308,8.441817,0.26087
strict,30,effort_clip_l14,selected,strict,4,False,low,0.501253,0.1,0.05,0.333333,11.151394,0.417582,0.941176,0.19,0.19,0.09,2,0.538647,0.631579,0.521739,0.571429,0.259259,0.259259,9.417512,0.578947,0.367788,0.355556,0.333333,0.344086,0.269231,0.557692,11.054305,0.577778
strict,30,efficientnet_b4,selected,strict,5,False,low,0.537733,0.0,0.0,0.350877,10.634433,0.444444,0.969697,0.73,0.73,0.63,2,0.505233,0.413793,0.26087,0.32,0.222222,0.314815,12.077774,0.689655,0.610978,0.54386,0.645833,0.590476,0.307692,0.5,6.457463,0.526316
strict,30,i3d,selected,strict,6,False,high,0.533835,0.0,0.0,0.385965,9.656375,0.396396,0.148148,0.7,0.7,0.65,3,0.465021,0.465517,0.586957,0.519231,0.259259,0.574074,6.068726,0.206897,0.424679,0.236842,0.1875,0.209302,0.192308,0.557692,14.307512,0.210526
strict,60,f3net,selected,strict,1,True,high,0.579241,0.0,0.0,0.5,7.502288,0.528302,0.76,0.58,0.58,0.48,1,0.676282,0.703704,0.730769,0.716981,0.208333,0.333333,5.853298,0.407407,0.7968,0.782609,0.72,0.75,0.2,0.2,7.041024,0.565217
strict,60,videomae,selected,strict,2,False,high,0.516741,0.0,0.0,0.321429,10.542423,0.352941,0.217391,0.47,0.47,0.37,2,0.665064,0.583333,0.538462,0.56,0.208333,0.416667,8.730131,0.25,0.4128,0.357143,0.2,0.25641,0.2,0.36,13.519085,0.428571
strict,60,effort_clip_l14,selected,strict,3,False,high,0.52567,0.0,0.0,0.357143,11.10225,0.4,0.227273,0.9,0.9,0.8,2,0.623397,0.45,0.346154,0.391304,0.125,0.458333,12.243643,0.35,0.4928,0.619048,0.52,0.565217,0.16,0.32,7.564415,0.285714
strict,60,efficientnet_b4,selected,strict,4,False,low,0.501116,0.0,0.0,0.571429,6.774519,0.542373,0.129032,0.66,0.66,0.56,2,0.512821,0.555556,0.576923,0.566038,0.25,0.5,7.059798,0.259259,0.4432,0.538462,0.84,0.65625,0.36,0.72,3.60689,0.153846
strict,60,i3d,selected,strict,5,False,low,0.623884,0.0,0.0,0.642857,7.350413,0.666667,0.153846,0.31,0.31,0.26,2,0.49359,0.071429,0.038462,0.05,0.125,0.541667,16.045536,0.142857,0.5616,0.52,0.52,0.52,0.16,0.48,9.232134,0.12
strict,60,xception_df40,selected,strict,6,False,low,0.543527,0.0,0.0,0.714286,5.316298,0.634921,0.142857,0.17,0.17,0.17,3,0.394231,0.565217,0.5,0.530612,0.25,0.416667,8.209548,0.26087,0.5344,0.478261,0.44,0.458333,0.16,0.48,10.019659,0.130435
research,1,videomae,selected,strict,1,True,low,0.54835,0.1,0.006667,0.108273,14.547433,0.1875,5.16129,0.98,0.98,0.88,3,0.533332,0.686636,0.099201,0.173357,0.200267,0.045394,15.279369,5.529954,0.569573,0.761702,0.119572,0.206697,0.319361,0.037259,15.416183,4.595745
research,1,f3net,selected,strict,2,False,high,0.516392,0.2,0.045,0.287618,10.698019,0.387725,5.924225,0.73,0.73,0.63,3,0.519515,0.533502,0.280959,0.368077,1.161549,0.246328,10.239738,5.764855,0.539355,0.589436,0.327989,0.421459,1.197605,0.227545,9.815817,4.969988
research,1,efficientnet_b4,selected,strict,3,False,low,0.534512,0.2,0.03,0.141588,13.644356,0.232452,5.648855,0.89,0.89,0.79,3,0.519435,0.664122,0.115846,0.197279,0.480641,0.058745,14.907631,7.557252,0.554629,0.644788,0.223113,0.331514,0.558882,0.122422,12.464488,4.633205
research,1,i3d,selected,strict,4,False,low,0.523211,0.2,0.036667,0.028318,16.345615,0.053684,9.69697,0.44,0.44,0.34,3,0.506952,0.55814,0.015979,0.031068,0.12016,0.012684,17.368476,11.162791,0.549829,0.311111,0.009352,0.018158,0.159681,0.020625,18.1005,13.333333
research,1,effort_clip_l14,selected,strict,5,False,low,0.504659,0.2,0.05,0.073293,15.319769,0.132397,8.082902,0.76,0.76,0.66,3,0.476453,0.419847,0.073236,0.124717,0.400534,0.101469,15.830369,4.122137,0.482432,0.266187,0.049432,0.08338,0.558882,0.135729,16.71361,6.906475
research,1,xception_df40,selected,strict,6,False,low,0.517418,0.2,0.048333,0.043309,15.795587,0.080829,8.372093,0.92,0.92,0.82,3,0.467627,0.448276,0.034621,0.064277,0.280374,0.042724,16.626548,7.241379,0.493191,0.692308,0.03006,0.057618,0.07984,0.013307,17.3375,6.461538
research,5,videomae,selected,strict,1,True,low,0.553333,0.2,0.091667,0.338889,10.515846,0.45269,2.815642,0.71,0.71,0.61,3,0.534979,0.597403,0.304636,0.403509,0.926174,0.208054,11.931762,3.350649,0.572781,0.545455,0.452459,0.494624,1.016949,0.389831,9.447037,1.944664
research,5,f3net,selected,strict,2,False,high,0.524506,0.1,0.075,0.341667,10.085817,0.452206,2.73913,0.67,0.67,0.57,3,0.525839,0.587879,0.321192,0.415418,0.885906,0.228188,11.031655,3.345455,0.541851,0.717105,0.357377,0.477024,0.650847,0.145763,11.187,2.289474
research,5,efficientnet_b4,selected,strict,3,False,low,0.535432,0.2,0.083333,0.141667,14.519192,0.234483,3.04,0.84,0.84,0.74,3,0.520379,0.555556,0.165563,0.255102,0.322148,0.134228,14.51775,3.066667,0.552253,0.671429,0.308197,0.422472,0.691525,0.155932,11.601927,2.914286
research,5,i3d,selected,strict,4,False,low,0.527035,0.2,0.066667,0.219444,13.061596,0.341253,2.796117,0.35,0.35,0.3,3,0.493999,0.538462,0.092715,0.158192,0.362416,0.080537,15.72981,4.615385,0.551442,0.507463,0.111475,0.182796,0.40678,0.111864,15.949683,2.865672
research,5,effort_clip_l14,selected,strict,5,False,low,0.502337,0.2,0.041667,0.138889,14.577721,0.225225,4.714286,0.41,0.41,0.31,3,0.47551,0.575221,0.215232,0.313253,0.604027,0.161074,13.50706,3.39823,0.478055,0.346939,0.111475,0.168734,0.691525,0.216949,15.951573,4.163265
research,5,xception_df40,selected,strict,6,False,low,0.520123,0.1,0.025,0.088889,15.306087,0.153477,5.052632,0.74,0.74,0.74,3,0.462609,0.75,0.07947,0.143713,0.120805,0.026846,15.883679,6.0,0.504596,0.566667,0.055738,0.101493,0.162712,0.044068,17.31311,2.8
research,10,videomae,selected,strict,1,True,low,0.562786,0.2,0.1,0.516854,7.947346,0.582278,1.130435,0.62,0.62,0.52,3,0.55561,0.477612,0.210526,0.292237,0.405405,0.236486,13.50369,1.432836,0.586515,0.52349,0.516556,0.52,0.966443,0.47651,8.355341,1.087248
research,10,effort_clip_l14,selected,strict,2,False,high,0.526608,0.2,0.066667,0.207865,13.036702,0.316239,3.428571,0.99,0.99,0.99,2,0.522004,0.738462,0.315789,0.442396,0.527027,0.114865,11.258964,2.584615,0.519312,0.564516,0.231788,0.328638,0.724832,0.181208,13.148549,4.064516
research,10,f3net,selected,strict,3,False,high,0.505556,0.1,0.05,0.488764,7.746548,0.54375,1.901408,0.61,0.61,0.51,2,0.522004,0.595238,0.493421,0.539568,1.013514,0.344595,8.071321,1.857143,0.543891,0.616667,0.490066,0.546125,1.006711,0.308725,8.661341,1.5
research,10,efficientnet_b4,selected,strict,4,False,low,0.543802,0.0,0.0,0.213483,13.348163,0.329004,1.584906,0.8,0.8,0.7,3,0.509957,0.447368,0.111842,0.178947,0.405405,0.141892,15.877798,1.578947,0.531624,0.651515,0.284768,0.396313,0.483221,0.154362,12.274512,1.272727
research,10,i3d,selected,strict,5,False,low,0.526361,0.0,0.0,0.634831,6.46699,0.638418,0.170455,0.33,0.33,0.23,3,0.480064,0.45122,0.243421,0.316239,0.72973,0.304054,13.09475,0.292683,0.551536,0.471014,0.430464,0.449827,0.442953,0.489933,10.507463,0.130435
research,10,xception_df40,selected,strict,6,False,low,0.512162,0.1,0.066667,0.235955,12.432212,0.340081,2.173913,0.44,0.44,0.34,3,0.479196,0.581818,0.210526,0.309179,0.364865,0.155405,13.685226,1.527273,0.5006,0.692308,0.238411,0.35468,0.281879,0.107383,13.813476,1.730769
research,15,f3net,selected,strict,1,True,high,0.547831,0.0,0.0,0.548387,7.504635,0.591304,0.566038,0.53,0.53,0.43,3,0.558223,0.619048,0.637255,0.628019,0.938776,0.408163,6.310286,0.457143,0.554899,0.545455,0.524272,0.534653,0.701031,0.463918,8.153732,0.323232
research,15,effort_clip_l14,selected,strict,2,False,high,0.506605,0.0,0.0,0.177419,14.382337,0.283871,1.806452,0.99,0.99,0.89,2,0.530812,0.706897,0.401961,0.5125,0.530612,0.173469,10.653786,0.758621,0.540587,0.5,0.213592,0.29932,0.659794,0.226804,13.521402,1.0
research,15,videomae,selected,strict,3,False,low,0.56535,0.1,0.075,0.403226,10.276106,0.507614,0.876712,0.61,0.61,0.56,3,0.526611,0.5,0.323529,0.392857,0.489796,0.336735,11.227,0.848485,0.572916,0.533333,0.543689,0.538462,0.742268,0.505155,7.676195,0.72381
research,15,i3d,selected,strict,4,False,high,0.502642,0.0,0.0,0.612903,6.853067,0.612903,0.129032,0.71,0.71,0.61,3,0.51547,0.521368,0.598039,0.557078,1.020408,0.571429,7.284179,0.17094,0.471925,0.421053,0.466019,0.442396,0.948454,0.680412,9.895073,0.175439
research,15,efficientnet_b4,selected,strict,5,False,high,0.500626,0.2,0.1,0.282258,11.875779,0.380435,1.666667,0.43,0.43,0.33,2,0.514406,0.44186,0.186275,0.262069,0.326531,0.244898,13.732798,1.860465,0.448303,0.452381,0.184466,0.262069,0.371134,0.237113,14.656146,1.428571
research,15,xception_df40,selected,strict,6,False,low,0.505423,0.1,0.075,0.306452,11.864817,0.424581,1.018182,0.33,0.33,0.33,3,0.442077,0.565217,0.127451,0.208,0.163265,0.102041,15.403762,1.043478,0.492944,0.741935,0.223301,0.343284,0.247423,0.082474,13.867451,1.290323
research,20,f3net,selected,strict,1,True,high,0.559871,0.0,0.0,0.585106,6.388933,0.585106,0.351064,0.51,0.51,0.41,3,0.591038,0.549451,0.675676,0.606061,0.592105,0.539474,6.020536,0.296703,0.595801,0.474359,0.506849,0.490066,0.623377,0.532468,8.610878,0.192308
research,20,effort_clip_l14,selected,strict,2,False,high,0.52239,0.0,0.0,0.191489,13.770029,0.302521,1.44,0.99,0.99,0.89,2,0.538051,0.72973,0.364865,0.486486,0.355263,0.131579,11.585714,0.810811,0.49155,0.55,0.150685,0.236559,0.233766,0.116883,15.568512,0.75
research,20,i3d,selected,strict,3,False,low,0.547501,0.1,0.066667,0.712766,4.733269,0.680203,0.145631,0.32,0.32,0.27,2,0.488104,0.367647,0.337838,0.352113,0.355263,0.565789,12.23144,0.176471,0.600071,0.476562,0.835616,0.606965,0.974026,0.87013,3.10772,0.117188
research,20,videomae,selected,strict,4,False,low,0.559129,0.1,0.033333,0.489362,8.303971,0.567901,0.397059,0.58,0.58,0.48,3,0.464794,0.509091,0.378378,0.434109,0.236842,0.355263,10.78781,0.490909,0.623377,0.476744,0.561644,0.515723,0.545455,0.584416,7.382732,0.488372
research,20,efficientnet_b4,selected,strict,5,False,low,0.5214,0.0,0.0,0.659574,5.14899,0.632653,0.264706,0.7,0.7,0.6,3,0.457681,0.534247,0.527027,0.530612,0.710526,0.447368,8.204643,0.369863,0.570717,0.463158,0.60274,0.52381,0.74026,0.662338,7.054476,0.284211
research,20,xception_df40,selected,strict,6,False,low,0.536987,0.1,0.1,0.510638,7.905971,0.581818,0.295775,0.28,0.28,0.18,3,0.441679,0.533333,0.324324,0.403361,0.473684,0.276316,11.966667,0.666667,0.529621,0.821429,0.315068,0.455446,0.155844,0.064935,12.227305,0.642857
research,30,videomae,selected,strict,1,True,low,0.621832,0.1,0.05,0.54386,7.769317,0.558559,0.333333,0.54,0.54,0.44,2,0.634461,0.465116,0.434783,0.449438,0.259259,0.425926,10.094393,0.651163,0.571314,0.493151,0.75,0.595041,0.346154,0.711538,4.952012,0.328767
research,30,xception_df40,selected,strict,2,False,low,0.533278,0.0,0.0,0.508772,7.293875,0.522523,0.222222,0.26,0.26,0.21,3,0.572464,0.576923,0.326087,0.416667,0.222222,0.203704,12.582298,0.461538,0.463141,0.558824,0.395833,0.463415,0.192308,0.288462,10.92428,0.529412
research,30,f3net,selected,strict,3,False,high,0.515455,0.0,0.0,0.631579,6.922115,0.590164,0.215385,0.49,0.49,0.39,3,0.558776,0.491803,0.652174,0.560748,0.259259,0.574074,7.334083,0.262295,0.605369,0.5,0.479167,0.489362,0.230769,0.442308,8.441817,0.26087
research,30,effort_clip_l14,selected,strict,4,False,low,0.501253,0.1,0.05,0.333333,11.151394,0.417582,0.941176,0.19,0.19,0.09,2,0.538647,0.631579,0.521739,0.571429,0.259259,0.259259,9.417512,0.578947,0.367788,0.355556,0.333333,0.344086,0.269231,0.557692,11.054305,0.577778
research,30,efficientnet_b4,selected,strict,5,False,low,0.537733,0.1,0.1,0.403509,10.259433,0.489362,1.027027,0.7,0.7,0.65,2,0.505233,0.371429,0.282609,0.320988,0.259259,0.407407,12.072905,0.8,0.610978,0.563636,0.645833,0.601942,0.269231,0.461538,6.705354,0.618182
research,30,i3d,selected,strict,6,False,high,0.533835,0.0,0.0,0.385965,9.656375,0.396396,0.148148,0.7,0.7,0.65,3,0.465021,0.465517,0.586957,0.519231,0.259259,0.574074,6.068726,0.206897,0.424679,0.236842,0.1875,0.209302,0.192308,0.557692,14.307512,0.210526
research,60,f3net,selected,strict,1,True,high,0.579241,0.0,0.0,0.5,7.502288,0.528302,0.76,0.58,0.58,0.48,1,0.676282,0.703704,0.730769,0.716981,0.208333,0.333333,5.853298,0.407407,0.7968,0.782609,0.72,0.75,0.2,0.2,7.041024,0.565217
research,60,videomae,selected,strict,2,False,high,0.516741,0.0,0.0,0.321429,10.542423,0.352941,0.217391,0.47,0.47,0.37,2,0.665064,0.583333,0.538462,0.56,0.208333,0.416667,8.730131,0.25,0.4128,0.357143,0.2,0.25641,0.2,0.36,13.519085,0.428571
research,60,effort_clip_l14,selected,strict,3,False,high,0.52567,0.0,0.0,0.357143,11.10225,0.4,0.227273,0.9,0.9,0.8,2,0.623397,0.45,0.346154,0.391304,0.125,0.458333,12.243643,0.35,0.4928,0.619048,0.52,0.565217,0.16,0.32,7.564415,0.285714
research,60,efficientnet_b4,selected,strict,4,False,low,0.501116,0.0,0.0,0.571429,6.774519,0.542373,0.129032,0.66,0.66,0.56,2,0.512821,0.555556,0.576923,0.566038,0.25,0.5,7.059798,0.259259,0.4432,0.538462,0.84,0.65625,0.36,0.72,3.60689,0.153846
research,60,i3d,selected,strict,5,False,low,0.623884,0.0,0.0,0.642857,7.350413,0.666667,0.153846,0.31,0.31,0.26,2,0.49359,0.071429,0.038462,0.05,0.125,0.541667,16.045536,0.142857,0.5616,0.52,0.52,0.52,0.16,0.48,9.232134,0.12
research,60,xception_df40,selected,strict,6,False,low,0.543527,0.0,0.0,0.714286,5.316298,0.634921,0.142857,0.17,0.17,0.17,3,0.394231,0.565217,0.5,0.530612,0.25,0.416667,8.209548,0.26087,0.5344,0.478261,0.44,0.458333,0.16,0.48,10.019659,0.130435
