window_s,validation_winner,validation_winner_f1,validation_winner_false_alerts_per_min,validation_winner_false_alert_time_ratio,validation_winner_ttfd_s,validation_mean_f1,validation_mean_false_alerts_per_min,validation_mean_false_alert_time_ratio,validation_mean_ttfd_s,test_mean_f1,test_mean_false_alerts_per_min,test_mean_false_alert_time_ratio,test_mean_ttfd_s
16,xception_df40,0.178571,0.080214,0.069519,16.05106,0.4172458333333333,0.5882353333333333,0.3012478333333333,10.7786965,0.45683466666666667,0.6384406666666667,0.3530465,10.116174833333334
17,xception_df40,0.058824,0.168303,0.051192,17.298679,0.4022333333333334,0.5539971666666667,0.338242,11.296914833333332,0.466146,0.6392691666666667,0.41443783333333334,9.421113833333333
18,effort_clip_l14,0.327273,0.232558,0.100775,13.561714,0.44295866666666667,0.503876,0.3443155,10.284396666666666,0.48551950000000005,0.7123096666666666,0.40663883333333334,9.282431
19,i3d,0.45,0.316832,0.548515,10.195726,0.39642483333333334,0.41584183333333335,0.29846016666666664,11.7569485,0.3952275,0.4817073333333333,0.428557,10.7178355
20,i3d,0.0,0.039474,0.342105,17.857143,0.37654799999999994,0.361842,0.3355261666666667,11.6100815,0.4588388333333333,0.44805199999999995,0.37013,10.147910666666666
21,effort_clip_l14,0.319149,0.199203,0.085657,13.403774,0.3468875,0.3452853333333333,0.3549136666666666,11.807561333333334,0.45417083333333336,0.46735383333333336,0.40240549999999997,9.756469333333333
22,i3d,0.190476,0.3125,0.627604,13.993345,0.3807036666666666,0.44921883333333334,0.4411893333333334,10.699385166666666,0.5003598333333333,0.5197368333333333,0.4561403333333333,9.005581333333334
23,videomae,0.496241,0.271143,0.507424,8.376524,0.4449533333333333,0.38089083333333335,0.45857566666666666,9.881533666666668,0.5091605,0.5509065,0.4610646666666667,8.840327
24,xception_df40,0.282353,0.211864,0.118644,13.941464,0.4361643333333333,0.39548,0.381356,10.811785666666665,0.31847600000000004,0.23358583333333335,0.2575756666666667,13.216394333333334
25,videomae,0.460177,0.162712,0.440678,10.049619,0.4361276666666667,0.37288150000000003,0.44067816666666665,10.369635,0.5509718333333333,0.49824549999999995,0.5760235,7.175239666666667
26,effort_clip_l14,0.347826,0.17316,0.209235,12.297274,0.41854033333333335,0.252525,0.37806616666666665,11.177857166666668,0.4364861666666667,0.3676471666666667,0.3887255,10.389937
27,effort_clip_l14,0.215385,0.077071,0.052023,15.572607,0.3625753333333333,0.1862555,0.31727666666666665,12.026976333333332,0.389051,0.27246366666666666,0.4336231666666666,9.8946525
28,i3d,0.233333,0.038071,0.017766,16.261429,0.3762345,0.215736,0.2601521666666667,12.148390999999998,0.4977213333333333,0.3148615,0.3879093333333333,8.663622
29,i3d,0.511628,0.210822,0.170766,11.141631,0.4684028333333334,0.3443428333333333,0.3641368333333333,10.832416666666667,0.4264461666666666,0.3192935,0.4125905,10.533166666666666
30,efficientnet_b4,0.32,0.222222,0.314815,12.077774,0.47291883333333334,0.24691333333333335,0.39197533333333334,9.595797666666668,0.4486136666666667,0.25641033333333335,0.5096153333333333,9.3562315
31,i3d,0.243902,0.080537,0.430872,15.622631,0.3512831666666667,0.16107366666666667,0.25011183333333337,12.947287666666668,0.41273350000000003,0.2526005,0.2861565,11.622463333333334
32,xception_df40,0.371429,0.140845,0.29108,11.105595,0.4556718333333334,0.2640845,0.5070423333333333,8.440618833333334,0.413411,0.2884615,0.46474366666666667,9.439910666666668
33,xception_df40,0.103448,0.087527,0.076586,17.01256,0.28252533333333335,0.21881833333333334,0.28665216666666665,13.742321500000001,0.36854566666666666,0.22868999999999998,0.35516283333333337,11.398128
34,xception_df40,0.111111,0.080321,0.128514,16.148774,0.4945286666666666,0.27443100000000004,0.36211499999999996,8.519672833333333,0.38121183333333336,0.2440635,0.33421266666666666,11.454113833333333
35,xception_df40,0.0,0.07717,0.115756,17.158202,0.3279826666666667,0.16077183333333334,0.3445875,11.699476166666665,0.4218881666666667,0.257028,0.29919666666666667,11.533221666666668
36,xception_df40,0.368421,0.190476,0.352381,12.153881,0.4971098333333333,0.269841,0.409524,9.227313333333333,0.4459093333333333,0.25956283333333335,0.36748633333333336,10.190942999999999
37,videomae,0.25,0.054695,0.074749,15.781179,0.3961328333333333,0.22789416666666665,0.3501975,12.096518000000001,0.36859083333333337,0.2573016666666667,0.38606866666666667,11.306941
38,xception_df40,0.310345,0.127479,0.18272,12.768524,0.462124,0.24079333333333333,0.4228045,9.206700333333332,0.5129806666666666,0.32733249999999997,0.4667211666666667,8.547995666666667
39,xception_df40,0.113208,0.09009,0.157658,15.645893,0.38128066666666666,0.2627625,0.48123133333333334,10.436912666666666,0.43356716666666667,0.2528276666666667,0.4411178333333334,9.528075166666666
40,videomae,0.382353,0.118421,0.473684,11.104,0.5190288333333334,0.3092103333333333,0.4605261666666667,8.063472333333333,0.40794683333333337,0.27499999999999997,0.4791666666666667,9.793392333333333
41,videomae,0.133333,0.081522,0.101223,16.477226,0.394584,0.2649456666666667,0.42232766666666666,10.233595333333334,0.457195,0.2784225,0.36736250000000004,10.636313
42,videomae,0.208333,0.081967,0.122951,16.300464,0.36961683333333334,0.19125666666666666,0.3804645,12.125400666666666,0.450435,0.27100266666666667,0.35230350000000005,10.995250166666667
43,xception_df40,0.186047,0.042523,0.059532,16.683155,0.3239433333333333,0.24096366666666666,0.30238583333333335,12.938380833333333,0.3326935,0.1623375,0.23982666666666666,13.057947166666667
44,i3d,0.102564,0.040214,0.048257,17.22575,0.3782003333333333,0.16756000000000001,0.31188566666666667,12.2278295,0.3795786666666667,0.16091966666666666,0.280843,11.931851666666667
45,i3d,0.0,0.0,0.0,17.857143,0.2978795,0.12962949999999998,0.271605,13.110619166666666,0.36498766666666665,0.2006475,0.26213583333333335,11.776733666666667
46,videomae,0.102564,0.105263,0.189474,16.014571,0.2920495,0.19883033333333333,0.34736866666666666,12.109434499999999,0.42512716666666667,0.24809183333333332,0.34923666666666664,10.228089500000001
